City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,qamdo,31.1667,97.2333,6.020000000000039,86,100,1.58,CN,1690058802
214,sepang,-8.3089,114.9171,18.810000000000002,86,91,2.69,ID,1690058803
215,victorica,-36.2151,-65.4359,12.150000000000034,51,100,7.76,AR,1690058211
216,ifanadiana,-21.3,47.6333,15.680000000000007,99,57,0.84,MG,1690058803
217,hamilton,39.1834,-84.5333,29.379999999999995,47,0,3.6,US,1690058601
218,zemio,5.0314,25.1361,20.370000000000005,97,100,0.29,CF,1690058803
219,preobrazheniye,42.9019,133.9064,18.810000000000002,97,100,1.42,RU,1690058803
220,cochrane,51.1834,-114.4687,31.150000000000034,37,0,3.6,CA,1690058634
221,padang,-0.9492,100.3543,25.120000000000005,90,99,1.17,ID,1690058600
222,happy valley-goose bay,53.3168,-60.3315,22.170000000000016,73,100,2.57,CA,1690058586
223,zouerate,22.7187,-12.4521,36.210000000000036,15,0,5.16,MR,1690058803
224,codrington,-38.2667,141.9667,10.150000000000034,63,93,4.16,AU,1690058697
225,beau vallon,-20.4189,57.6953,23.129999999999995,78,40,6.69,MU,1690058804
226,itoman,26.1247,127.6694,28.210000000000036,89,69,3.09,JP,1690058804
227,weno,7.4515,151.8468,26.970000000000027,94,100,1.54,FM,1690058804
228,zhanaozen,43.3,52.8,30.03000000000003,31,3,5.52,KZ,1690058804
229,oranjemund,-28.55,16.4333,11.32000000000005,73,100,2.32,NA,1690058804
230,haiku-pauwela,20.9219,-156.3051,28.010000000000048,63,40,8.23,US,1690058804
231,pacasmayo,-7.4006,-79.5714,22.670000000000016,74,4,5.62,PE,1690058804
232,sucua,-2.4667,-78.1667,25.410000000000025,57,75,1.03,EC,1690058805
233,kodiak,57.79,-152.4072,8.730000000000018,93,100,2.06,US,1690058531
234,san patricio,28.017,-97.5169,38.98000000000002,37,27,7.86,US,1690058805
235,maun,-19.9833,23.4167,16.980000000000018,45,0,3.09,BW,1690058805
236,hermanus,-34.4187,19.2345,10.450000000000045,88,100,3.38,ZA,1690058578
237,chimore,-16.9833,-65.1333,31.090000000000032,40,33,2.13,BO,1690058213
238,nemuro,43.3236,145.575,15.240000000000009,94,97,4.48,JP,1690058582
239,quepos,9.4236,-84.1652,29.55000000000001,74,100,1.91,CR,1690058805
240,saint-philippe,-21.3585,55.7679,21.77000000000004,87,84,7.82,RE,1690058592
241,monrovia,6.3005,-10.7969,24.870000000000005,82,93,5.23,LR,1690058805
242,kununurra,-15.7667,128.7333,19.99000000000001,40,24,5.66,AU,1690058806
243,chegdomyn,51.1167,133.0167,16.25,69,100,0.58,RU,1690058806
244,pocone,-16.2567,-56.6228,32.34000000000003,19,0,2.7,BR,1690058806
245,lompoc,34.6391,-120.4579,35.56,88,100,3.6,US,1690058787
246,hamar,60.7945,11.068,9.870000000000005,94,73,0.44,NO,1690058737
247,donggang,28.9365,114.2259,23.970000000000027,97,100,1.04,CN,1690058806
248,kormilovka,55.0026,74.1028,17.670000000000016,62,71,2.01,RU,1690058806
249,lebu,-37.6167,-73.65,11.120000000000005,82,9,2.76,CL,1690058538
250,ujae,8.9322,165.7642,28.060000000000002,79,97,7.28,MH,1690058806
251,saldanha,-33.0117,17.9442,9.03000000000003,82,81,1.43,ZA,1690058807
252,constitucion,-35.3333,-72.4167,12.310000000000002,78,10,1.72,CL,1690058756
253,dingzhou,38.5131,114.9956,22.060000000000002,90,5,1.48,CN,1690058807
254,yishui,35.7847,118.6281,23.410000000000025,88,0,1.37,CN,1690058807
255,borkum,53.5809,6.6915,16.08000000000004,91,100,9.3,DE,1690058782
256,enewetak,11.3474,162.3373,28.25,78,76,7.02,MH,1690058807
257,sitka,57.0531,-135.33,15.939999999999998,82,100,1.54,US,1690058579
258,hammerfest,70.6634,23.6821,10.25,76,98,5.14,NO,1690058740
259,fale old settlement,-9.3852,-171.2468,28.400000000000034,74,6,2.99,TK,1690058807
260,cadale,2.7603,46.3222,25.200000000000045,85,55,8.15,SO,1690058807
261,san fernando,15.0286,120.6898,24.850000000000023,92,97,1.42,PH,1690058808
262,hastings,50.8552,0.5729,17.180000000000007,43,100,10.02,GB,1690058602
263,virginia beach,36.8529,-75.978,30.03000000000003,70,75,4.12,US,1690058510
264,dryden,49.7833,-92.7503,23.160000000000025,68,0,1.03,CA,1690058808
265,lihue,21.9789,-159.3672,27.58000000000004,82,100,6.69,US,1690058808
266,zyryanskoye,56.8306,86.6258,15.29000000000002,94,99,3.03,RU,1690058808
267,howard springs,-12.497,131.047,21.950000000000045,53,11,3.4,AU,1690058808
268,kruisfontein,-34.0033,24.7314,9.379999999999995,87,0,2.94,ZA,1690058808
269,minas de marcona,-15.2119,-75.1103,14.800000000000011,73,47,6.78,PE,1690058626
270,bardai,11.65,7.2333,22.370000000000005,90,100,2.48,NG,1690058808
271,kzyltu,53.6364,72.3414,18.83000000000004,56,56,2.59,KZ,1690058809
272,porto recanati,43.4365,13.6613,25.720000000000027,10,0,2.54,IT,1690058809
273,amahai,-3.3333,128.9167,26.670000000000016,87,69,2.26,ID,1690058809
274,garachico,28.7781,-17.7646,22.060000000000002,73,20,8.75,ES,1690058809
275,grande prairie,55.1667,-118.8027,24.100000000000023,57,20,3.6,CA,1690058809
276,meadow lakes,61.6247,-149.6011,23.189999999999998,63,0,1.54,US,1690058809
277,puerto baquerizo moreno,-0.9,-89.6,27.55000000000001,69,20,5.14,EC,1690058598
278,senanga,-16.1167,23.2667,17.470000000000027,41,0,3.19,ZM,1690058809
279,murzuq,25.9155,13.9184,33.25,15,0,4.58,LY,1690058627
280,albertina,-22.2008,-46.6158,16.82000000000005,55,0,2.82,BR,1690058810
281,barakani,-12.1356,44.4317,24.590000000000032,72,6,4.12,KM,1690058810
282,freetown,8.484,-13.2299,24.840000000000032,94,75,2.06,SL,1690058810
283,laguna,38.421,-121.4238,41.29000000000002,27,0,2.06,US,1690058810
284,constantia,44.1833,28.65,25.390000000000043,69,0,0.56,RO,1690058662
285,palu,-0.8917,119.8707,24.04000000000002,96,82,0.42,ID,1690058810
286,hargeysa,9.56,44.065,22.590000000000032,58,97,12.41,SO,1690058810
287,somerset east,-32.7217,25.588,12.700000000000045,52,0,2.13,ZA,1690058811
288,mau,25.95,83.55,31.590000000000032,63,13,5.67,IN,1690058811
289,nago,26.5881,127.9761,28.24000000000001,83,77,1.95,JP,1690058811
290,vilyuchinsk,52.9306,158.4028,16.150000000000034,74,96,2.92,RU,1690058811
291,fort bragg,35.139,-79.006,31.08000000000004,58,100,3.58,US,1690058595
292,chake chake,-5.2459,39.7666,24.310000000000002,84,7,5.09,TZ,1690058811
293,karak,31.1667,35.75,24.980000000000018,35,0,2.83,JO,1690058812
294,ewo,-0.8725,14.8206,27.400000000000034,60,90,0.46,CG,1690058812
295,anar darah,32.7587,61.654,29.700000000000045,15,95,7.04,AF,1690058812
296,remire-montjoly,4.9167,-52.2667,29.02000000000004,79,75,1.03,GF,1690058566
297,sampit,-2.5333,112.95,22.610000000000014,97,45,1.03,ID,1690058813
298,masterton,-40.9597,175.6575,7.160000000000025,97,100,1.79,NZ,1690058813
299,bokhan,53.153,103.7714,12.590000000000032,82,33,1.92,RU,1690058813
300,siocon,7.7061,122.1353,26.140000000000043,90,100,2.72,PH,1690058813
301,dobrinka,52.1653,40.4731,17.090000000000032,68,100,3.06,RU,1690058813
302,uturoa,-16.7333,-151.4333,24.689999999999998,74,93,5.73,PF,1690058813
303,mandalgovi,45.7625,106.2708,14.660000000000025,66,15,3.47,MN,1690058813
304,kattivakkam,13.2167,80.3167,27.260000000000048,86,100,4.51,IN,1690058814
305,nadi,-17.8,177.4167,20.0,83,20,3.6,FJ,1690058814
306,iskateley,67.6803,53.1512,10.550000000000011,95,100,6.18,RU,1690058814
307,shache,38.4167,77.2406,27.060000000000002,24,100,3.35,CN,1690058814
308,podgornoye,51.735,39.1496,17.120000000000005,72,0,2.0,RU,1690058814
309,piton saint-leu,-21.2196,55.3151,20.060000000000002,78,100,8.75,RE,1690058814
310,canyon,34.9803,-101.9188,33.07000000000005,44,2,2.24,US,1690058814
311,fortaleza,-3.7227,-38.5247,28.07000000000005,69,75,6.17,BR,1690058812
312,tsaratanana,-16.7833,47.65,19.140000000000043,71,2,4.47,MG,1690058814
313,kavaratti,10.5669,72.642,28.160000000000025,82,100,9.5,IN,1690058815
314,mundri,-6.9558,111.71,22.140000000000043,85,54,1.55,ID,1690058815
315,berrahal,36.8353,7.4533,28.850000000000023,80,39,2.56,DZ,1690058815
316,port lincoln,-34.7333,135.8667,10.970000000000027,70,16,5.75,AU,1690058815
317,yuzhno-kurilsk,44.0306,145.8556,15.310000000000002,94,100,4.03,RU,1690058800
318,filadelfia,39.9523,-75.1638,30.0,45,75,6.69,US,1690058571
319,hobart,-42.8794,147.3294,6.140000000000043,94,75,3.09,AU,1690058815
320,al jawf,29.5,38.75,31.170000000000016,16,24,3.69,SA,1690058762
321,pingzhuang,42.0372,119.2889,18.78000000000003,89,99,3.29,CN,1690058815
322,stanley,54.868,-1.6985,15.400000000000034,94,100,5.14,GB,1690058571
323,tofol,5.3248,163.0078,28.54000000000002,77,100,7.86,FM,1690058816
324,dondo,-19.6094,34.7431,21.730000000000018,90,5,0.84,MZ,1690058816
325,dien bien phu,21.3833,103.0167,23.439999999999998,99,93,0.71,VN,1690058816
326,ust-tsilma,65.441,52.1498,14.0,98,100,2.0,RU,1690058816
327,taskopru,41.5098,34.2141,18.700000000000045,76,0,1.39,TR,1690058816
328,mukalla,14.5425,49.1242,31.390000000000043,60,99,1.34,YE,1690058816
329,punta del este,-34.9667,-54.95,28.060000000000002,51,0,8.75,UY,1690058534
